Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,525682,-,-,-,31.49,-103.38,-6,784,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
Year,Month,Day,Hour,Minute,DHI,DNI,Temperature,GHI
2018,1,1,0,30,0,0,-5.9,0
2018,1,1,1,30,0,0,-6,0
2018,1,1,2,30,0,0,-6.1000000000000005,0
2018,1,1,3,30,0,0,-6.4,0
2018,1,1,4,30,0,0,-6.800000000000001,0
2018,1,1,5,30,0,0,-7.1000000000000005,0
2018,1,1,6,30,0,0,-7.4,0
2018,1,1,7,30,0,0,-7.5,0
2018,1,1,8,30,29,0,-7.1000000000000005,29
2018,1,1,9,30,114,78,-6.2,136
2018,1,1,10,30,174,256,-4.9,283
2018,1,1,11,30,239,149,-3.6,317
2018,1,1,12,30,272,130,-2.5,347
2018,1,1,13,30,254,278,-1.7000000000000002,414
2018,1,1,14,30,80,898,-1.3,546
2018,1,1,15,30,71,844,-1.3,421
2018,1,1,16,30,56,719,-2,249
2018,1,1,17,30,31,401,-2.6,67
2018,1,1,18,30,0,0,-4.3,0
2018,1,1,19,30,0,0,-4.7,0
2018,1,1,20,30,0,0,-5.1000000000000005,0
2018,1,1,21,30,0,0,-5.4,0
2018,1,1,22,30,0,0,-5.6000000000000005,0
2018,1,1,23,30,0,0,-5.7,0
2018,1,2,0,30,0,0,-5.800000000000001,0
2018,1,2,1,30,0,0,-5.9,0
